,Family,Subfamily,Tribe,Subtribe,Genus,Species,Subspecies,BS_area_um2,FM_DM,FM_DM_sd,H+_ev_mumol_g-1_FW,H+_ev_mumol_g-1_FW_sd,H+_mo_mumol_g-1_FW,H+_mo_mumol_g-1_FW_sd,Habit,IAS,IAS_sd,Pathway,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,dC13,dH+,dH+_significance,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,leaf_thickness_mm_sd,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_abaxial_area_um2,mesophyll_abaxial_length_um,mesophyll_adaxial_area_um2,mesophyll_adaxial_length_um,mesophyll_cell_area_um2,plant_part,Source,Tissue,transpiration_ratio,avg_elevation_m,LCCDM,SLAFM,tissue,long_name,pct_night_C02,H+_ev_mumol_g-1_DW,H+_ev_mumol_g-1_DW_sd,H+_mo_mumol_g-1_DW,H+_mo_mumol_g-1_DW_sd
0,Orchidaceae,,,,Acineta,sp.,,,7.1,0.3,20.0,0.7,25.1,4.8,,,,,197.0,20.0,,,,,,,,,-28.1,5.1,0.0,,,,,550.0,,,,,,,,Silvera et al (2005),,,,,,,Acineta sp.,,,,,
1,Orchidaceae,Epidendroideae,Cymbidieae,Oncidiinae,Ada,allenii,,,8.1,0.5,18.4,3.1,19.6,0.5,,,,,191.0,13.0,,,,,,,,,-28.2,1.2,0.0,,,,,610.0,,,,,,,,Silvera et al (2005),,,,,,,Ada allenii,,,,,
2,Orchidaceae,,,,Ancipitia,crocodiliceps,,,8.7,0.9,9.5,1.8,10.4,1.0,,,,,80.0,11.0,,,,,,,,,-28.3,0.9,0.0,,,,,1140.0,,,,,,,,Silvera et al (2005),,,,,,,Ancipitia crocodiliceps,,,,,
3,Orchidaceae,Epidendroideae,Arethuseae,Arethusinae,Arundina,graminifolia,,,3.5,0.2,11.5,0.4,11.7,0.8,,,,,119.0,10.0,,,,,,,,,-26.5,0.2,0.0,,,,,320.0,,,,,,,,Silvera et al (2005),,,,,,,Arundina graminifolia,,,,,
4,Orchidaceae,Epidendroideae,Cymbidieae,Oncidiinae,Aspasia,epidendroides,,,5.3,0.2,3.5,0.3,8.5,0.2,,,,,147.0,6.0,,,,,,,,,-27.9,5.0,1.0,,,,,570.0,,,,,,,,Silvera et al (2005),,,,,,,Aspasia epidendroides,,,,,
5,Orchidaceae,Epidendroideae,Cymbidieae,Oncidiinae,Aspasia,principissa,,,4.5,0.2,35.6,4.2,38.9,2.4,,,,,149.0,10.0,,,,,,,,,-27.9,3.2,0.0,,,,,250.0,,,,,,,,Silvera et al (2005),,,,,,,Aspasia principissa,,,,,
6,Orchidaceae,Epidendroideae,Calypsoeae,Laeliinae,Brassavola,acaulis,,,16.9,0.2,7.7,1.6,31.6,3.8,,,,,35.0,3.0,,,,,,,,,-15.1,23.9,1.0,,,,,5010.0,,,,,,,,Silvera et al (2005),,,,,,,Brassavola acaulis,,,,,
7,Orchidaceae,Epidendroideae,Calypsoeae,Laeliinae,Brassavola,nodosa,,,12.5,0.5,39.5,1.4,96.2,9.4,,,,,37.0,1.0,,,,,,,,,-13.8,56.7,1.0,,,,,3810.0,,,,,,,,Silvera et al (2005),,,,,,,Brassavola nodosa,,,,,
8,Orchidaceae,Epidendroideae,Cymbidieae,Oncidiinae,Brassia,arcuigera,,,5.3,0.3,27.2,1.9,32.9,1.5,,,,,86.0,3.0,,,,,,,,,-25.2,5.7,1.0,,,,,470.0,,,,,,,,Silvera et al (2005),,,,,,,Brassia arcuigera,,,,,
9,Orchidaceae,Epidendroideae,Cymbidieae,Oncidiinae,Brassia,caudata,,,5.5,0.3,5.5,0.4,27.6,1.3,,,,,133.0,5.0,,,,,,,,,-27.0,22.1,1.0,,,,,450.0,,,,,,,,Silvera et al (2005),,,,,,,Brassia caudata,,,,,
