Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Subspecies,Pathway,BS_area_um2,FM_DM,FM_DM_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_abaxial_area_um2,mesophyll_abaxial_length_um,mesophyll_adaxial_area_um2,mesophyll_adaxial_length_um,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_cell_area_um2,Habit,dC13,tissue,long_name,CITEKEYS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Climacoptera,iranica,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Climacoptera,longipistillata,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Climacoptera,turcomanica,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Climacoptera,khalijefarsica,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Climacoptera,glaberrima,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Climacoptera,lanata,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Climacoptera,crassa,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halimocnemis,gamocarpus,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halimocnemis,commixtus,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halimocnemis,khorassanicus,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halimocnemis,pilosus,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halimocnemis,rarifolium,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halimocnemis,pedunculata,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halimocnemis,alaeflavum,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halimocnemis,mamamense,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halimocnemis,azerbaijanesis,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halimocnemis,purpurea,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halimocnemis,longifolia,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halimocnemis,mollissima,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halotis,pilifera,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halotis,occulta,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Pyankovia,brachiata,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Ofaiston,monandrum,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Petrosimonia,glauca,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Petrosimonia,nigdensis,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Petrosimonia,brachiata,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halocharis,sulphurea,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halocharis,violaceae,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Halocharis,hispida,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Nanophyton,erinaceum,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Kaviria,vvdenskyi,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Kaviria,zehzadii,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Kaviria,gossypina,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Kaviria,tomentosa,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Kaviria,lachnantha,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Kaviria,rubescens,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Kaviria,aucheri,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,araneosa,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,glabrescens,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,zeyheri,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,abarghuensis,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,inermis,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,forcipitata,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,gemmascens,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,jordanicola,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,chorassanica,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
