Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,BS_area_um2,FM_DM,FM_DM_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,Kranz_anatomy,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_abaxial_area_um2,mesophyll_abaxial_length_um,mesophyll_adaxial_area_um2,mesophyll_adaxial_length_um,mesophyll_thickness_um,mesophyll_thickness_um_sd,mesophyll_cell_area_um2,Habit,dC13,tissue,CITEKEYS
,Poaceae,,Oryzeae,,Oryza,sativa,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,granulata,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,officinalis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,eichingeri,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,brachyantha,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,latifolia,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,ridleyi,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,minuta,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,sublata,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,breviligulata,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,punctata,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,australiensis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,malampuzhaensis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,glandiglumis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,paraguayensis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Zizania,latifolia,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Dactylis,glomerata,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Lolium,multiflorum,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Lolium,perenne,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Poa,pratensis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Poa,annua,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Festuca,ampla,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Bromus,catharticus,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Bromus,remotiflorus,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Bromus,japonicus,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Hordeum,vulgare,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Hordeum,distichon,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Aegilops,cylindrica,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Aegilops,perignina,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Agropyron,ciliare,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Agropyron,transiens,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Triticum,aestivum,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
