Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,Pathway_subtype,dC13,Kranz_anatomy,Kranz_subtype,BS_area_um2,FM_DM,FM_DM_sd,leaf_thickness_um,leaf_thickness_um_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,mesophyll_area_um2,mesophyll_thickness_um,mesophyll_thickness_um_sd,BS:M,mesophyll_cell_area_um2,vein_density_m_mm-2,Habit,tissue,CITEKEYS
,Montiaceae,,,,Calandrinia,thyrsoidea,,,,,C3+CAM,,-21.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Cistanthe,celosioides,,,,,C3+CAM,,-22.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Cistanthe,amaranthoides,,,,,C3+CAM,,-21.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Cistanthe,celosioides,,,,,C3+CAM,,-19.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Portulacaceae,,,,Portulaca,philippii,,,,,C4+CAM,,-12.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Calandrinia,capitata,,,,,C3+CAM,,-25.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Calandrinia,longiscapa,,,,,C3+CAM,,-24.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Calandrinia,acaulis,,,,,C3+CAM,,-25.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Calandrinia,acaulis,,,,,C3+CAM,,-26.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Calandrinia,spicata,,,,,CAM,,-16.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Calandrinia,grandiflora,,,,,C3+CAM,,-20.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Calandrinia,bandurriae,,,,,C3+CAM,,-24.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Calandrinia,occulta,,,,,C3+CAM,,-24.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Calandrinia,copiapina,,,,,C3+CAM,,-26.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Lenzia,chamaepitys,,,,,C3+CAM,,-25.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Calandrinia,leucocephala,,,,,C3+CAM,,-24.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
,Montiaceae,,,,Calandrinia,picta,,,,,C3+CAM,,-23.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arroyo1990BA
