Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,Pathway_subtype,dC13,Kranz_anatomy,Kranz_subtype,BS_area_um2,FM_DM,FM_DM_sd,leaf_thickness_um,leaf_thickness_um_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,mesophyll_area_um2,mesophyll_thickness_um,mesophyll_thickness_um_sd,BS:M,mesophyll_cell_area_um2,vein_density_m_mm-2,Habit,tissue,CITEKEYS
,Brassicaceae,,,,Arabidopsis,,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,Malvaceae,,,,Gossipium,hisutum,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,Fabaceae,,,,Lotus,japonicus,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,Fabaceae,,,,Glycine,max,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,Amaranthaceae,,,,Amaranthus,edulis,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,Poaceae,,,,Oryza,,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,,,,,Spinacea,oleracea,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,Vitaceae,,,,Vitis,vinifera,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,,,,,Pisum,,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,,,,,Flaveria,,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,,,,,Tobacco,,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,,,,,Triticum,aestivum,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,,,,,Vicia,faba,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,,,,,Ricinus,communis,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
,,,,,Hordeum,,,,,,C3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubry2011JXB
