Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,dC13,Taxonomy_Status,Pathway,BS_area_um2,FM_DM,FM_DM_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,Kranz_anatomy,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_abaxial_area_um2,mesophyll_abaxial_length_um,mesophyll_adaxial_area_um2,mesophyll_adaxial_length_um,mesophyll_thickness_um,mesophyll_thickness_um_sd,mesophyll_cell_area_um2,Habit,tissue,CITEKEYS
,Cyperaceae,,,,Carex,monostachya,,,,-22.7,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Cyperaceae,,,,Carex,runssoroensis,,,,-22.8,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Cyperaceae,,,,Cladium,mariscus,var,jamaicense,,-26.6,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Cyperaceae,,,,Cladium,mariscus,,,,-24.7,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Cyperaceae,,,,Cyperus,denudatus,,,,-28.0,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Cyperaceae,,,,Cyperus,latifolius,,,,-10.6,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Cyperaceae,,,,Cyperus,papyrus,,,,-11.0,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Cyperaceae,,,,Pycreus,nigricans,,,,-10.3,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Dryopteridaceae,,,,Dryopteris,gongylodes,,,,-27.4,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Ericaceae,,,,Erica,kingaensis,,,,-25.9,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Juncaceae,,,,Juncus,effusus,,,,-28.5,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Juncaceae,,,,Juncus,oxycarpus,,,,-25.0,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Poaceae,,,,Miscanthidium,erectum,,,,-11.9,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Poaceae,,,,Miscanthidium,fuscescens,,,,-12.0,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Poaceae,,,,Phragmites,mauritianius,,,,-26.7,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Nympheaceae,,,,Nymphea,sp.,,,,-24.7,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Potamogetonaceae,,,,Potamogeton,sp.,,,,-25.9,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Restionaceae,,,,Restio,mahonii,,,,-22.2,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Restionaceae,,,,Restio,ocreatus,,,,-22.6,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Sphagnaceae,,,,Sphagnum,sp.,,,,-23.7,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Myrtaceae,,,,Syzygium,cordatum,,,,-27.1,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
,Myrtaceae,,,,Syzygium,guineense,,,,-29.8,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aucour1994QR
