Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,Pathway_subtype,dC13,Kranz_anatomy,Kranz_subtype,BS_area_um2,FM_DM,FM_DM_sd,leaf_thickness_um,leaf_thickness_um_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,mesophyll_area_um2,mesophyll_thickness_um,mesophyll_thickness_um_sd,BS:M,mesophyll_cell_area_um2,vein_density_m_mm-2,Habit,tissue,CITEKEYS
,,,Arundinareae,,Arundinaria,sp.,,,,,C3,,-29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Zizanieae,,Zizaniopsis,miliacea,,,,,C3,,-26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Zizanieae,,Zizaniopsis,aquatica,,,,,C3,,-30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Arundinareae,,Phragmites,communus,,,,,C3,,-26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Stipeae,,Stipa,spartea,,,,,C3,,-27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Stipeae,,Stipa,comata,,,,,C3,,-24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Stipeae,,Oryzopsis,hymenoides,,,,,C3,,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Festuceae,,Festuca,rubra,,,,,C3,,-27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Festuceae,,Bromus,kalmii,,,,,C3,,-30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Festuceae,,Bromus,catharticus,,,,,C3,,-30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Hordeae,,Elymus,canadensis,,,,,C3,,-27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Hordeae,,Elymus,mollis,,,,,C3,,-27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Hordeae,,Agropyron,intermedium,,,,,C3,,-28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Aveneae,,Ammophila,brevigulata,,,,,C3,,-27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Aveneae,,Agrostis,perennans,,,,,C3,,-30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Aveneae,,Agrostis,scabra,,,,,C3,,-28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Aeluronideae,,Distichlis,spicata,,,,,C4,,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Spartineae,,Spartina,cynosuroides,,,,,C4,,-14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Spartineae,,Spartina,pectinata,,,,,C4,,-13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Eragrosteae,,Eragrostis,cilianensis,,,,,C4,,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Eragrosteae,,Sporobolus,poiretti,,,,,C4,,-13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Eragrosteae,,Muhlenbergia,schreberi,,,,,C4,,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Chlorideae,,Bouteloua,gracilis,,,,,C4,,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Chlorideae,,Bouteloua,curtipendula,,,,,C4,,-14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Chlorideae,,Buchloe,dactyloides,,,,,C4,,-14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Chlorideae,,Cynodon,dactylon,,,,,C4,,-15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Paniceae,,Panicum,amarulum,,,,,C4,,-13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Paniceae,,Panicum,virgatum,,,,,C4,,-13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Paniceae,,Panicum,virgatum,,,,,C4,,-14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Paniceae,,Panicum,dichotomiflorum,,,,,C4,,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Paniceae,,Panicum,pacificum,,,,,C3,,-33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Paniceae,,Panicum,leibergii,,,,,C3,,-26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Paniceae,,Panicum,scribnerianum,,,,,C3,,-32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Paniceae,,Echinochloa,crus-galli,,,,,C4,,-13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,,,Andropogoneae,,Andropogon,glomeratus,,,,,C4,,-14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Typhaceae,,,,Typha,angustifolia,,,,,C3,,-31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Scirpus,cespitosus,,,,,C3,,-28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Scirpus,olneyi,,,,,C3,,-29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Scirpus,validus,,,,,C3,,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Scirpus,robustus,,,,,C3,,-26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Cladium,jamaicensis,,,,,C3,,-28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Eriophorum,angustifolium,,,,,C3,,-27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Carex,stricta,,,,,C3,,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Carex,lacustris,,,,,C3,,-27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Eleocharis,parvula,,,,,C3,,-21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Cyperus,odoratus,,,,,C4,,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cyperaceae,,,,Cyperus,filiculmis,,,,,C4,,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Commelinaceae,,,,Tradescantia,ohiensis,,,,,C3,,-26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Juncaceae,,,,Juncus,roemerianus,,,,,C3,,-28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Juncaceae,,,,Juncus,effusus,,,,,C3,,-30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Liliaceae,,,,Yucca,filamentosa,,,,,C3,,-27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Liliaceae,,,,Aloe,arborescens,,,,,,,-24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Liliaceae,,,,Sanseveria,fasciata,,,,,,,-17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Polygonaceae,,,,Oxyria,digyna,,,,,,,-27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
