Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,Pathway_subtype,dC13,Kranz_anatomy,Kranz_subtype,BS_area_um2,FM_DM,FM_DM_sd,leaf_thickness_um,leaf_thickness_um_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,mesophyll_area_um2,mesophyll_thickness_um,mesophyll_thickness_um_sd,BS:M,mesophyll_cell_area_um2,vein_density_m_mm-2,Habit,tissue,CITEKEYS
Poales,Poaceae,,,,Phragmites,communis,,,,,C3,,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Oryzopsis,hymenoides,,,,,C3,,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Stipa,comata,,,,,C3,,-24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Stipa,spartea,,,,,C3,,-24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Stipa,viridula,,,,,C3,,-26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Bromus,kalmii,,,,,C3,,-30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Bromus,inermis,,,,,C3,,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Festuca,arundinacea,,,,,C3,,-26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Festuca,pratensis,,,,,C3,,-28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Festuca,rubra,,,,,C3,,-27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Lolium,perenne,,,,,C3,,-28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Poa,compressa,,,,,C3,,-27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Poa,pratensis,,,,,C3,,-27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Dactylis,glomerata,,,,,C3,,-24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Agropyron,cristatum,,,,,C3,,-29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Agropyron,intermedium,,,,,C3,,-28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Agropyron,repens,,,,,C3,,-26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Agropyron,smithii,,,,,C3,,-28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Agropyron,trachycaulum,,,,,C3,,-28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Elymus,canadensis,,,,,C3,,-27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Elymus,junceus,,,,,C3,,-26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Hordeum,jubatum,,,,,C3,,-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Calamagrostris,canadensis,,,,,C3,,-26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Arrhenatherum,elatius,,,,,C3,,-26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Agrostis,alba,,,,,C3,,-27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Phalaris,arundinacea,,,,,C3,,-26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Alopecurus,pratensis,,,,,C3,,-28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Phleum,pratense,,,,,C3,,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Distichlis,stricta,,,,,C4,,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Spartina,pectinata,,,,,C4,,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Eragrostis,spectabilis,,,,,C4,,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
Poales,Poaceae,,,,Muhlenbergia,schreberi,,,,,C4,,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973JBGS
