Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,Pathway_subtype,dC13,Kranz_anatomy,Kranz_subtype,BS_area_um2,FM_DM,FM_DM_sd,leaf_thickness_um,leaf_thickness_um_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,mesophyll_area_um2,mesophyll_thickness_um,mesophyll_thickness_um_sd,BS:M,mesophyll_cell_area_um2,vein_density_m_mm-2,Habit,tissue,CITEKEYS
,Aizoaceae,,,,Mesmbryanthemum,chilense,,,,,C3+CAM,,-23.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Bromeliaceae,,,,Tilandsia,usneoides,,,,,CAM,,-18.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Bromeliaceae,,,,Ananas,comosus,,,,,CAM,,-14.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Cactaceae,,,,Opuntia,strobiliformis,,,,,CAM,,-15.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Cactaceae,,,,Opuntia,humifusa,,,,,CAM,,-13.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Cactaceae,,,,Cereus,peruvianus,,,,,CAM,,-15.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Cactaceae,,,,Schlumbergera,bridgesii,,,,,CAM,,-18.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Cactaceae,,,,Schlumbergera,bridgesii,,,,,CAM,,-19.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Asteraceae,,,,Senecio,gregorii,,,,,CAM,,-19.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Euphorbiaceae,,,,Euphorbia,tirucalli,,,,,CAM,,-15.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Euphorbiaceae,,,,Euphorbia,tithymaloides,,,,,CAM,,-15.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Crassulaceae,,,,Sempervivum,calcareum,,,,,CAM,,-16.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Crassulaceae,,,,Sedum,spurium,,,,,C3+CAM,,-29.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Crassulaceae,,,,Sedum,spurium,,,,,C3+CAM,,-27.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Crassulaceae,,,,Sedum,spurium,,,,,C3+CAM,,-28.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Crassulaceae,,,,Sedum,spurium,,,,,C3+CAM,,-29.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Crassulaceae,,,,Sedum,spectabile,,,,,C3+CAM,,-26.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Crassulaceae,,,,Sedum,rubrotinctum,,,,,CAM,,-13.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
,Crassulaceae,,,,Sedum,telephium,,,,,C3+CAM,,-29.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1973PPhys
