Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,dC13,Subspecies,Pathway,BS_area_um2,FM_DM,FM_DM_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_abaxial_area_um2,mesophyll_abaxial_length_um,mesophyll_adaxial_area_um2,mesophyll_adaxial_length_um,mesophyll_thickness_um,mesophyll_thickness_um_sd,mesophyll_cell_area_um2,Habit,tissue,long_name,CITEKEYS
,Orchidaceae,Epidendroideae,,Eulophiinae,Acrolophia,bolusii,-25.83,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Acrolophia,cochlearis,-22.93,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Acrolophia,lamellata,-25.42,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Acrolophia,lunata,-25.88,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Acrolophia,micrantha,-21.65,,C3+CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Acrolophia,ustulata,-23.95,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Cymbidiella,falcigera,-27.00,,C3,epiphyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Cymbidiella,flabellata,-29.42,,C3,epiphyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,acutilabra,-19.47,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,andamanensis,-23.48,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,angolensis,-27.05,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,arenicola,-11.54,,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,calantha,-28.97,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,calanthoides,-27.00,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,callichroma,-25.09,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,clitellifera,-13.60,,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,coeloglossa,-25.21,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,cucullata,-28.24,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,euglossa,-28.51,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,eylesii,-27.81,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,flavopurpurea,-25.69,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
,Orchidaceae,Epidendroideae,,Eulophiinae,Eulophia,fridericii,-23.98,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone2015NewPhy
