Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Abildgaardia hygrophila,(Gordon-Gray) K.,C3,Bruhl and Wilson (2007),-27.9 -28.2,Abildgaardia,hygrophila,,
Abildgaardia macrantha,(Boeck.),C4,Takeda et al. (1985),,Abildgaardia,macrantha,,
Abildgaardia ovata,(Burm. f.) Kral,C4,Gordon-Gray (1971) Sharma and Mehra (1972) Raghavendra and Das (1976) Carolin et al. (1977) Hesla et al. (1982) Kuoh and Chiang (1984) Bruhl et al. (1987) Bruhl and Wilson (2007),-11.3,Abildgaardia,ovata,,
Abildgaardia oxystachya,(F. Muell.),C4,Takeda et al. (1985),,Abildgaardia,oxystachya,,
Abildgaardia schoenoides,R. Br.,C4,Takeda et al. (1985),,Abildgaardia,schoenoides,,
Abildgaardia triflora,(L.) Abeyw.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-10.6 -12.0,Abildgaardia,triflora,,
Abildgaardia vaginata,R. Br.,C4,Bruhl et al. (1987) Bruhl and Wilson (2007),,Abildgaardia,vaginata,,
Actinoschoenus filiformis,(Thwaites) Benth.,C3,Bruhl and Wilson (2007),-27.4,Actinoschoenus,filiformis,,
Actinoscirpus grossus,(L. f.) Goetgh. and D. A. Simpson,C3,Govindarajalu (1976) Takeda et al. (1985) Bruhl and Wilson (2007),,Actinoscirpus,grossus,,
Afrotrilepis jaegeri,J. Raynal,C3,Bruhl and Wilson (2007),,Afrotrilepis,jaegeri,,
Afrotrilepis pilosa,J. Raynal,C3,Chermezon (1930) Bruhl and Wilson (2007),-32.3 -33.1,Afrotrilepis,pilosa,,
Alinula lipocarphoides,(Kük.) J. Raynal,C4,Bruhl and Wilson (2007),,Alinula,lipocarphoides,,
Alinula malawica,(J. Raynal) Goetgh. and Vorster,C4,Raynal (1973),,Alinula,malawica,,
Alinula paradoxa,(Cherm.) Goetgh. and Vorster,C3,Bruhl and Wilson (2007),-25.08,Alinula,paradoxa,,
Alinula peteri,(Kük.) Goetgh. and Vorster,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-14.1,Alinula,peteri,,
Amphiscirpus nevadensis,(S. Watson) Oten-Yeboah,C3,Bruhl and Wilson (2007),,Amphiscirpus,nevadensis,,
Androtrichum trigynum,(Spreng.) H. Pfeiff.,C3,Bruhl and Wilson (2007),-27.5,Androtrichum,trigynum,,
Arthrostylis aphylla,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),-27.4,Arthrostylis,aphylla,,
Ascolepis capensis,(Kunth) Ridl.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-12.4 -10.31,Ascolepis,capensis,,
Ascolepis dipsacoides,(K. Schum.) J. Raynal,C4,Bruhl and Wilson (2007),-10.3,Ascolepis,dipsacoides,,
Ascolepis pinguis,C. B. Clarke,C4,Hesla et al. (1982),,Ascolepis,pinguis,,
Ascolepis protea,Welwitsch,C4,Bruhl and Wilson (2007),-10.4,Ascolepis,protea,,
Ascolepis pusilla,Ridl.,C4,Bruhl and Wilson (2007),,Ascolepis,pusilla,,
Asterochaete capitellata,Nees,C3,Bruhl and Wilson (2007),,Asterochaete,capitellata,,
Baumea acuta,(Labill.) Palla,C3,Bruhl and Wilson (2007),,Baumea,acuta,,
Baumea articulata,(R. Br.) S. T. Blake,C3,Takeda et al. (1985),,Baumea,articulata,,
Baumea deplanchei,Boeck.,C3,Bruhl and Wilson (2007),-30.4,Baumea,deplanchei,,
Baumea glomerata,Gaud.,C3,Bruhl and Wilson (2007),,Baumea,glomerata,,
Baumea juncea,(Nees) Boeck.,C3,Takeda et al. (1985),,Baumea,juncea,,
Baumea rubiginosa,(Spreng.) Boeck.,C3,Takeda et al. (1985) Ueno et al. (1986) Bruhl and Wilson (2007),,Baumea,rubiginosa,,
Baumea teretifolia,(R. Br.) Palla,C3,Takeda et al. (1985),,Baumea,teretifolia,,
Baumea tetragona,(Labill.) S. T. Blake,C3,Bruhl and Wilson (2007),,Baumea,tetragona,,
Becquerelia cymosa,subsp. cymosa,Brongn.,C3,Bruhl and Wilson (2007),Becquerelia,cymosa,,
Bisboeckelera irrigua,(Nees) Kuntze,C3,Bruhl and Wilson (2007),-36.6,Bisboeckelera,irrigua,,
Bisboeckelera microcephala,(Boeck.) Koyama,C3,Bruhl and Wilson (2007),,Bisboeckelera,microcephala,,
Blysmus compressus,(L.) Panz. Ex Link,C3,Bruhl and Wilson (2007),-27.5,Blysmus,compressus,,
Blysmus rufus,(Huds.) Link,C3,Bruhl and Wilson (2007),,Blysmus,rufus,,
Bolboschoenus medianus,(V. J. Cook) Sojak,C3,Takeda et al. (1985),,Bolboschoenus,medianus,,
Bolboschoenus fluviatilis,(Torr.) Sojak,C3,Takeda et al. (1985) Ueno et al. (1986) Bruhl and Wilson (2007),,Bolboschoenus,fluviatilis,,
Bolboschoenus maritimus,(L.) Palla,C3,Sabnis (1921) Govindarajalu (1976) Hesla et al. (1982) Mateu Andres (1991) Bruhl and Wilson (2007),-29.7,Bolboschoenus,maritimus,,
Bolboschoenus robustus,(Pursh) Sojak,C3,Bender (1971),,Bolboschoenus,robustus,,
Bulbostylis abortiva,(Steud.) C. B. Clarke,C4,Bruhl and Wilson (2007),,Bulbostylis,abortiva,,
Bulbostylis argenteobrunnea,C. B. Clarke,C4,Hesla et al. (1982),,Bulbostylis,argenteobrunnea,,
Bulbostylis atrosanguinea,(Boeck.) C. B. Clarke,C4,Hesla et al. (1982),,Bulbostylis,atrosanguinea,,
Bulbostylis barbata,(Rottb.) C. B. Clarke,C4,Govindarajalu (1966) Hesla et al. (1982) Takeda et al. (1985) Ueno et al. (1986) Ueno et al. (1988b) Ueno and Takeda (1992) Bruhl and Wilson (2007),,Bulbostylis,barbata,,
Bulbostylis basalis,Fosberg,C4,Hnatiuk (1980),,Bulbostylis,basalis,,
Bulbostylis boeckeleriana,(Schweinf.) Beetle,C4,Hesla et al. (1982),-10.7,Bulbostylis,boeckeleriana,,
Bulbostylis bozumensis,Cherm.,C4,Bruhl and Wilson (2007),-13.8,Bulbostylis,bozumensis,,
Bulbostylis coleotricha,(Hochst. ex A. Rich.) C. B. Clarke,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-12.5,Bulbostylis,coleotricha,,
Bulbostylis contexta,(Nees) Bodard,C4,Gordon-Gray (1971),,Bulbostylis,contexta,,
Bulbostylis densa,(Wall. ex Roxb.) Hand.-Mazz.,C4,Govindarajalu (1966) Hesla et al. (1982) Takeda et al. (1985) Ueno and Takeda (1992),,Bulbostylis,densa,,
Bulbostylis densa subsp. afrimontana,(K. Lye) R. Haines,C4,Hesla et al. (1982),,Bulbostylis,densa,afrimontana,subsp.
Bulbostylis filamentosa,(Vahl) C.B. Clarke,C4,Hesla et al. (1982),,Bulbostylis,filamentosa,,
Bulbostylis hispidula subsp. filiformis,(C. B. Clarke) R. Haines,C4,Hesla et al. (1982),,Bulbostylis,hispidula,filiformis,subsp.
Bulbostylis glaberrima,Kük.,C4,Hesla et al. (1982),,Bulbostylis,glaberrima,,
Bulbostylis hispidula,(Vahl R. W. Haines,C4,Hesla et al. (1982),-13.4,Bulbostylis,hispidula,,
Bulbostylis humilis,(Kunth) C. B. Clarke,C4,Hesla et al. (1982),,Bulbostylis,humilis,,
Bulbostylis lanata,(Kunth)Lindm.,C4,Bruhl and Wilson (2007),,Bulbostylis,lanata,,
