Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,Pathway_subtype,dC13,Kranz_anatomy,Kranz_subtype,BS_area_um2,FM_DM,FM_DM_sd,leaf_thickness_um,leaf_thickness_um_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,mesophyll_area_um2,mesophyll_thickness_um,mesophyll_thickness_um_sd,BS:M,mesophyll_cell_area_um2,vein_density_m_mm-2,Habit,tissue,CITEKEYS
,,,,,Achyranthes,aspera,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poaceae,,,,Alloteropsis,semialata,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Poaceae,,,,Alloteropsis,zambezian,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Amaranthaceae,,,,Alternanthera,crucis,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Amaranthaceae,,,,Alternanthera,ficoidea,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Acanthaceae,,,,Alternanthera,ficoides,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amaranthaceae,,,,Alternanthera,tenella,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Schrophulariaceae,,,,Anticharis,ebracteate,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Schrophulariaceae,,,,Anticharis,juncea,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Acanthaceae,,,,Blepharis,acuminate,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Acanthaceae,,,,Blepharis,diversispina,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Acanthaceae,,,,Blepharis,espinosa,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Acanthaceae,,,,Blepharis,gigantea,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Acanthaceae,,,,Blepharis,natalensis,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Acanthaceae,,,,Blepharis,nolimetangere,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Acanthaceae,,,,Blepharis,pruinose,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Acanthaceae,,,,Blepharis,sinuate,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Acanthaceae,,,,Blepharis,subvolubilis,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Brassicaceae,,,,Brassica,gravinae,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Cleomaceae,,,,Cleome,monophylla,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleomaceae,,,,Cleome,paradoxa,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,,,,,Dicanthelium,oligosanthes,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brassicaceae,,,,Diplotaxis,erucoides,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Brassicaceae,,,,Diplotaxis,muralis,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Brassicaceae,,,,Diplotaxis,tenuifolia,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Brassicaceae,,,,Diplotaxis,viminea,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Euphorbiaceae,,,,Euphorbia,acuta,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Euphorbiaceae,,,,Euphorbia,johnstonii,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Euphorbiaceae,,,,Euphorbia,lata,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Asteraceae,,,,Flaveria,angustifolia,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asteraceae,,,,Flaveria,anomala,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asteraceae,,,,Flaveria,chloraefolia,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asteraceae,,,,Flaveria,cronquistii,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asteraceae,,,,Flaveria,floridana,,,,,"C2, weak C4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asteraceae,,,,Flaveria,linearis,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asteraceae,,,,Flaveria,oppositifolia,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asteraceae,,,,Flaveria,pubescens,,,,,"C2, weak C4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asteraceae,,,,Flaveria,ramosissima,,,,,"C2, weak C4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asteraceae,,,,Flaveria,sonorensis,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boraginaceae,,,,Heliotropium,convolvulaceum,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Boraginaceae,,,,Heliotropium,europaeum,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boraginaceae,,,,Heliotropium,greggii,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Boraginaceae,,,,Heliotropium,karwinskyi,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boraginaceae,,,,Heliotropium,racemosum,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Poaceae,,,,Homolepis,aturensis,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Molluginaceae,,,,Hypertelis,spergulacea,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Molluginaceae,,,,Mollugo,nudicaulis,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Molluginaceae,,,,Mollugo,pentaphylla,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Molluginaceae,,,,Mollugo,verticillata,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Brassicaceae,,,,Moricandia,arvensis,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Brassicaceae,,,,Moricandia,moricandioides,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brassicaceae,,,,Moricandia,nitens,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Brassicaceae,,,,Moricandia,sinaica,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Brassicaceae,,,,Moricandia,spinosa,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
,Brassicaceae,,,,Moricandia,suffruticosa,,,,,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundgren2020NP
