Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Kranz_subtype,Taxonomy_Status,Pathway,Pathway_subtype,dC13,Kranz_anatomy,BS_area_um2,FM_DM,FM_DM_sd,leaf_thickness_um,leaf_thickness_um_sd,IAS,IAS_sd,vein_density_m_mm-2,BS:M,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,mesophyll_area_um2,mesophyll_thickness_um,mesophyll_thickness_um_sd,mesophyll_cell_area_um2,Habit,tissue,CITEKEYS
,Acanthaceae,,,,,,,,Blepharis ciliaris,Atriplicoid,,C4,NADP-ME,,1,20726.9,,,317.2,,13.5,,12.4,0.22833,,,,,,,,,,,,,,90776.7,,,,,,Muhaidat2007AJB
,Aizoaceae,,,,,,,,Aizoon canariense,,,C3,,,,17569.3,,,327.4,,13.4,,7.7,0.19124,,,,,,,,,,,,,,91872.8,,,,,,Muhaidat2007AJB
,Aizoaceae,,,,,,,,Cypselea humifusa,Atriplicoid,,C4,NADP-ME,,1,42705.3,,,401.8,,12.1,,13.4,0.29602,,,,,,,,,,,,,,144267.2,,,,,,Muhaidat2007AJB
,Aizoaceae,,,,,,,,Sesuvium verrocosum,Atriplicoid,,C3,,,,237689.9,,,1002.3,,22.2,,8.2,0.17735,,,,,,,,,,,,,,1340216.1,,,,,,Muhaidat2007AJB
,Aizoaceae,,,,,,,,Trianthema portulacastrum,Atriplicoid,,C4,NADP-ME,,1,33362.3,,,482,,29.3,,7.7,0.15574,,,,,,,,,,,,,,214215.4,,,,,,Muhaidat2007AJB
,Aizoaceae,,,,,,,,Zaleya pentandra,Atriplicoid,,C4,NAD-ME,,1,42282.8,,,422.2,,15.7,,7.2,0.37000,,,,,,,,,,,,,,114277.9,,,,,,Muhaidat2007AJB
,Amaranthaceae,,,,,,,,Aerva lanata,,,C3,,,,10073.5,,,317.9,,24.6,,,0.10009,,,,,,,,,,,,,,100645.8,,,,,,Muhaidat2007AJB
,Amaranthaceae,,,,,,,,Aerva persica,Atriplicoid,,C4,NADP-ME,,1,17736.6,,,270.9,,20.7,,6.8,0.23988,,,,,,,,,,,,,,73940.8,,,,,,Muhaidat2007AJB
,Amaranthaceae,,,,,,,,Alternanthera,Atriplicoid,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhaidat2007AJB
,Amaranthaceae,,,,,,,,Amaranthus retroflexa,Atriplicoid,,C4,NAD-ME,,1,8011,,,158.5,,20.2,,9.5,0.37484,,,,,,,,,,,,,,21371.8,,,,,,Muhaidat2007AJB
,Amaranthaceae,,,,,,,,Amaranthus tricolor,,,C4,NAD-ME,,1,11717.3,,,136.1,,15.5,,8,0.77140,,,,,,,,,,,,,,15189.6,,,,,,Muhaidat2007AJB
,Amaranthaceae,,,,,,,,Celosia cristata,,,C3,,,,16880,,,406.5,,40.7,,11.6,0.07594,,,,,,,,,,,,,,222293.2,,,,,,Muhaidat2007AJB
,Amaranthaceae,,,,,,,,Gomphrena globosa,Atriplicoid,,C4,NADP-ME,,1,10937.6,,,245.1,,10,,5.4,0.17483,,,,,,,,,,,,,,62561.6,,,,,,Muhaidat2007AJB
,Amaranthaceae,,,,,,,,Iresine herbstii,,,C3,,,,7331.2,,,183.9,,25.9,,9.7,0.15065,,,,,,,,,,,,,,48664,,,,,,Muhaidat2007AJB
,Asteraceae,,,,,,,,Flaveria cronquistii,,,C3,,,,6857.4,,,324.4,,11.8,,7.9,0.05942,,,,,,,,,,,,,,115397.7,,,,,,Muhaidat2007AJB
,Asteraceae,,,,,,,,Flaveria trinervia,Atriplicoid,,C4,NADP-ME,,1,15989.8,,,190.4,,9.5,,,0.45816,,,,,,,,,,,,,,34900.2,,,,,,Muhaidat2007AJB
,Asteraceae,,,,,,,,Pectis glaucescens,Atriplicoid,,C4,NADP-ME,,1,12636,,,232.5,,15.1,,8.4,0.27711,,,,,,,,,,,,,,45600,,,,,,Muhaidat2007AJB
,Asteraceae,,,,,,,,Isostigma,Atriplicoid+Isostigma,,C4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhaidat2007AJB
,Asteraceae,,,,,,,,Chysanthellum,Atriplicoid+Salsoloid,,C4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhaidat2007AJB
,Asteraceae,,,,,,,,Tagetes erecta,,,C3,,,,2438.9,,,187.6,,16.6,,8.6,0.04796,,,,,,,,,,,,,,50847.5,,,,,,Muhaidat2007AJB
,Boraginaceae,,,,,,,,Heliotropium polyphyllum,Atriplicoid,,C4,NADP-ME,,1,14211.6,,,215.9,,6.8,,,0.39635,,,,,,,,,,,,,,35856.3,,,,,,Muhaidat2007AJB
