Family,Genus,C3,CAM,C3-CAM,C4-CAM,C4,C3-C4,Sources,Order,Subfamily,Tribe,Subtribe
Orchidaceae,Aa,,,,,,,,,,,
Asteraceae,Aaronsohnia,,,,,,,,,,,
Fabaceae,Abacosa,,,,,,,,,,,
Fabaceae,Abarema,,,,,,,,,,,
Asteraceae,Abasoloa,,,,,,,,,,,
Salicaceae,Abatia,,,,,,,,,,,
Myrtaceae,Abbevillea,,,,,,,,,,,
Orchidaceae,Abdominea,,,,,,,,,,,
Caprifoliaceae,Abelia,,,,,,,,,,,
Ulmaceae,Abelicea,,,,,,,,,,,
Oleaceae,Abeliophyllum,,,,,,,,,,,
Malvaceae,Abelmoschus,,,,,,,,,,,
Annonaceae,Aberemoa,,,,,,,,,,,
Salicaceae,Aberia,,,,,,,,,,,
Cyperaceae,Abildgaardia,1.0,0.0,0.0,0.0,1.0,0.0,Bruhl and Wilson (2007),,,,
Cucurbitaceae,Abobra,,,,,,,,,,,
Xyridaceae,Abolboda,,,,,,,,,,,
Urticaceae,Aboriella,,,,,,,,,,,
Anacardiaceae,Abrahamia,,,,,,,,,,,
Malvaceae,Abroma,,,,,,,,,,,
Bromeliaceae,Abromeitiella,0.0,1.0,0.0,0.0,0.0,,,Poales,,,
Nyctaginaceae,Abronia,,,,,,,,,,,
Rousseaceae,Abrophyllum,,,,,,,,,,,
Asteraceae,Abrotanella,,,,,,,,,,,
Fabaceae,Abrus,,,,,,,,,,,
Asteraceae,Absinthium,,,,,,,,,,,
Apocynaceae,Absolmsia,,,,,,,,,,,
Menispermaceae,Abuta,,,,,,,,,,,
Malvaceae,Abutilon,,,,,,,,,,,
Fabaceae,Acacia,1.0,0.0,0.0,0.0,0.0,,,Fabales,,,
Fabaceae,Acaciella,,,,,,,,,,,
Rosaceae,Acaena,,,,,,,,,,,
Euphorbiaceae,Acalypha,,,,,,,,,,,
Orchidaceae,Acampe,,,,,,,,,,,
Asteraceae,Acamptopappus,,,,,,,,,,,
Cactaceae,Acanthanthus,,,,,,,,,,,
Fabaceae,Acantharia,,,,,,,,,,,
Melastomataceae,Acanthella,,,,,,,,,,,
Orchidaceae,Acanthephippium,,,,,,,,,,,
Fabaceae,Acanthobotrya,,,,,,,,,,,
Cactaceae,Acanthocalycium,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Caprifoliaceae,Acanthocalyx,,,,,,,,,,,
Asparagaceae,Acanthocarpus,,,,,,,,,,,
Asteraceae,Acanthocephalus,,,,,,,,,,,
Cactaceae,Acanthocereus,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Velloziaceae,Acanthochlamys,,,,,,,,,,,
Asteraceae,Acanthocladium,,,,,,,,,,,
Polygalaceae,Acanthocladus,,,,,,,,,,,
Asteraceae,Acanthodesmos,,,,,,,,,,,
Acanthaceae,Acanthodium,,,,,,,,,,,
Polemoniaceae,Acanthogilia,,,,,,,,,,,
Plumbaginaceae,Acantholimon,,,,,,,,,,,
Verbenaceae,Acantholippia,,,,,,,,,,,
Cactaceae,Acantholobivia,,,,,,,,,,,
Lamiaceae,Acanthomintha,,,,,,,,,,,
Gesneriaceae,Acanthonema,,,,,,,,,,,
Acanthaceae,Acanthopale,,,,,,,,,,,
Araliaceae,Acanthopanax,,,,,,,,,,,
Cactaceae,Acanthopetalus,,,,,,,,,,,
Fabaceae,Acanthophaca,,,,,,,,,,,
Orchidaceae,Acanthophippium,,,,,,,,,,,
Arecaceae,Acanthophoenix,,,,,,,,,,,
Caryophyllaceae,Acanthophyllum,,,,,,,,,,,
Lamiaceae,Acanthoprasium,,,,,,,,,,,
Acanthaceae,Acanthopsis,,,,,,,,,,,
Cactaceae,Acanthorhipsalis,,,,,,,,,,,
Plantaginaceae,Acanthorrhinum,,,,,,,,,,,
Arecaceae,Acanthorrhiza,,,,,,,,,,,
Polygonaceae,Acanthoscyphus,,,,,,,,,,,
Cucurbitaceae,Acanthosicyos,,,,,,,,,,,
Asteraceae,Acanthospermum,,,,,,,,,,,
Moraceae,Acanthosphaera,,,,,,,,,,,
Bromeliaceae,Acanthostachys,0.0,1.0,0.0,0.0,0.0,,,Poales,,,
Asteraceae,Acanthostyles,,,,,,,,,,,
Santalaceae,Acanthosyris,,,,,,,,,,,
Celastraceae,Acanthothamnus,,,,,,,,,,,
Meliaceae,Acanthotrichilia,,,,,,,,,,,
Asteraceae,Acanthoxanthium,,,,,,,,,,,
Acanthaceae,Acanthura,,,,,,,,,,,
Acanthaceae,Acanthus,,,,,,,,,,,
Fabaceae,Acanthyllis,,,,,,,,,,,
Vitaceae,Acareosperma,,,,,,,,,,,
Asteraceae,Acarna,,,,,,,,,,,
Asteraceae,Acarphaea,,,,,,,,,,,
Malvaceae,Acaulimalva,,,,,,,,,,,
Myrtaceae,Acca,,,,,,,,,,,
Myrtaceae,Accara,,,,,,,,,,,
Fabaceae,Accorombona,,,,,,,,,,,
Acanthaceae,Acelica,,,,,,,,,,,
Violaceae,Acentra,,,,,,,,,,,
Sapindaceae,Acer,,,,,,,,,,,
Orchidaceae,Aceras,,,,,,,,,,,
Apocynaceae,Acerates,,,,,,,,,,,
Elaeocarpaceae,Aceratium,,,,,,,,,,,
Saxifragaceae,Aceriphyllum,,,,,,,,,,,
Polygonaceae,Acetosa,,,,,,,,,,,
Asteraceae,Achaetogeron,,,,,,,,,,,
Malvaceae,Achania,,,,,,,,,,,
Cactaceae,Acharagma,,,,,,,,,,,
